Frame,ID,Altitude_m,GroundDist_m,Person_Lat,Person_Lon,Drone_Lat,Drone_Lon
2677,28.750391_77.113348,6.87,2.25,28.75039142228067,77.11334831283679,28.7503799,77.1133673
2707,28.750389_77.113345,6.91,1.65,28.750389298616305,77.11334507306508,28.7503812,77.1133592
2737,28.750389_77.113336,6.88,2.19,28.750389196270667,77.11333588096956,28.7503781,77.1133544
2767,28.750381_77.113330,6.87,1.5,28.75038089943462,77.1133295759179,28.7503736,77.1133425
2797,28.750378_77.113326,6.85,1.04,28.7503776291479,77.11332573226022,28.7503727,77.1133348
2798,28.750377_77.113326,6.85,1.01,28.750377476849142,77.11332601243146,28.7503727,77.1133348
2799,28.750377_77.113326,6.85,0.97,28.75037729127326,77.11332635381984,28.7503727,77.1133348
2800,28.750377_77.113326,6.84,0.93,28.7503773377226,77.1133257184116,28.7503729,77.1133338
2801,28.750377_77.113326,6.84,0.9,28.750377198990225,77.11332597105876,28.7503729,77.1133338
2802,28.750377_77.113326,6.84,0.87,28.750377045298322,77.11332625094887,28.7503729,77.1133338
2803,28.750377_77.113327,6.84,0.83,28.750376853719946,77.1133265998345,28.7503729,77.1133338
2806,28.750376_77.113327,6.84,0.73,28.750376400083404,77.11332742595728,28.7503729,77.1133338
2807,28.750376_77.113327,6.84,0.71,28.75037623863748,77.11332677418129,28.7503728,77.1133329
2808,28.750376_77.113327,6.84,0.69,28.750376159330703,77.11332691546369,28.7503728,77.1133329
2809,28.750376_77.113327,6.84,0.69,28.750376155253257,77.11332692272751,28.7503728,77.1133329
2810,28.750376_77.113327,6.84,0.69,28.750376131824112,77.11332696446576,28.7503728,77.1133329
2811,28.750376_77.113327,6.84,0.69,28.75037615341469,77.11332692600286,28.7503728,77.1133329
2812,28.750376_77.113327,6.84,0.7,28.750376169947344,77.11332689655049,28.7503728,77.1133329
2813,28.750376_77.113327,6.84,0.7,28.750376187953705,77.11332686447275,28.7503728,77.1133329
2814,28.750376_77.113327,6.84,0.71,28.750376223312607,77.11332680148205,28.7503728,77.1133329
2815,28.750376_77.113326,6.86,0.73,28.750376097012566,77.1133259063335,28.7503725,77.1133322
2816,28.750376_77.113326,6.86,0.76,28.75037621607711,77.11332569800713,28.7503725,77.1133322
2828,28.750376_77.113324,6.88,0.94,28.750376325602673,77.1133237374116,28.7503717,77.1133318
2829,28.750376_77.113324,6.88,0.95,28.750376382864943,77.11332363760145,28.7503717,77.1133318
2837,28.750375_77.113322,6.88,1.0,28.750374963750087,77.11332211150784,28.7503701,77.1133307
2844,28.750375_77.113323,6.88,0.92,28.750374598733433,77.11332275606041,28.7503701,77.1133307
2845,28.750374_77.113322,6.86,0.92,28.75037415894289,77.1133220717855,28.7503697,77.11333
2877,28.750372_77.113319,6.83,0.89,28.75037225060826,77.11331948777298,28.7503679,77.1133271
2881,28.750372_77.113320,6.83,0.82,28.750371924198017,77.11332005889057,28.7503679,77.1133271
2882,28.750372_77.113320,6.83,0.81,28.750371855243426,77.1133201795399,28.7503679,77.1133271
2887,28.750371_77.113319,6.83,0.81,28.75037115574941,77.11331932021783,28.7503672,77.1133263
2888,28.750371_77.113319,6.83,0.81,28.750371171608155,77.11331929223563,28.7503672,77.1133263
2889,28.750371_77.113319,6.83,0.81,28.750371172136916,77.11331929130264,28.7503672,77.1133263
2895,28.750371_77.113318,6.84,0.85,28.750370772842984,77.11331817927271,28.7503666,77.1133255
2896,28.750371_77.113318,6.84,0.87,28.750370842015418,77.11331805791839,28.7503666,77.1133255
2897,28.750370_77.113318,6.85,0.88,28.750370408426928,77.1133175356311,28.7503661,77.1133251
2899,28.750370_77.113317,6.85,0.89,28.750370468118764,77.11331743082926,28.7503661,77.1133251
2900,28.750370_77.113317,6.85,0.9,28.75037048916528,77.11331739387758,28.7503661,77.1133251
2906,28.750370_77.113317,6.86,0.89,28.750370330126817,77.11331725671636,28.750366,77.1133249
2909,28.750370_77.113317,6.86,0.89,28.750370331148954,77.11331725491213,28.750366,77.1133249
