Frame,Lat,Lon,Altitude_m,Yaw_deg,Pitch_deg,Roll_deg
85,28.7503766,77.1133764,-0.1,274.23,-0.41,-1.15
86,28.7503766,77.1133764,-0.1,274.23,-0.41,-1.15
87,28.7503765,77.1133766,-0.11,274.16,-0.42,-1.13
88,28.7503765,77.1133766,-0.11,274.16,-0.42,-1.13
89,28.7503765,77.1133766,-0.11,274.16,-0.42,-1.13
90,28.7503765,77.1133766,-0.11,274.16,-0.42,-1.13
91,28.7503765,77.1133766,-0.11,274.16,-0.42,-1.13
92,28.7503765,77.1133766,-0.11,274.16,-0.42,-1.13
93,28.7503765,77.1133766,-0.11,274.16,-0.42,-1.13
94,28.7503764,77.1133766,-0.11,274.26,-0.42,-1.15
95,28.7503764,77.1133766,-0.11,274.26,-0.42,-1.15
96,28.7503764,77.1133766,-0.11,274.26,-0.42,-1.15
97,28.7503764,77.1133766,-0.11,274.26,-0.42,-1.15
98,28.7503764,77.1133766,-0.11,274.26,-0.42,-1.15
99,28.7503764,77.1133766,-0.11,274.26,-0.42,-1.15
100,28.7503764,77.1133766,-0.11,274.26,-0.42,-1.15
101,28.7503764,77.1133766,-0.11,274.26,-0.42,-1.15
102,28.7503762,77.1133766,-0.12,274.2,-0.43,-1.16
103,28.7503762,77.1133766,-0.12,274.2,-0.43,-1.16
104,28.7503762,77.1133766,-0.12,274.2,-0.43,-1.16
105,28.7503762,77.1133766,-0.12,274.2,-0.43,-1.16
106,28.7503762,77.1133766,-0.12,274.2,-0.43,-1.16
107,28.7503762,77.1133766,-0.12,274.2,-0.43,-1.16
108,28.7503762,77.1133766,-0.12,274.2,-0.43,-1.16
109,28.7503761,77.1133766,-0.15,274.13,-0.45,-1.16
110,28.7503761,77.1133766,-0.15,274.13,-0.45,-1.16
111,28.7503761,77.1133766,-0.15,274.13,-0.45,-1.16
112,28.7503761,77.1133766,-0.15,274.13,-0.45,-1.16
113,28.7503761,77.1133766,-0.15,274.13,-0.45,-1.16
114,28.7503761,77.1133766,-0.15,274.13,-0.45,-1.16
115,28.7503761,77.1133766,-0.15,274.13,-0.45,-1.16
116,28.7503761,77.1133766,-0.15,274.13,-0.45,-1.16
117,28.7503761,77.1133767,-0.16,274.22,-0.43,-1.15
118,28.7503761,77.1133767,-0.16,274.22,-0.43,-1.15
119,28.7503761,77.1133767,-0.16,274.22,-0.43,-1.15
120,28.7503761,77.1133767,-0.16,274.22,-0.43,-1.15
121,28.7503761,77.1133767,-0.16,274.22,-0.43,-1.15
122,28.7503761,77.1133767,-0.16,274.22,-0.43,-1.15
123,28.7503761,77.1133767,-0.16,274.22,-0.43,-1.15
